退職,年齢,出張頻度,通勤距離,最終学歴,社員番号,職場環境の満足度,労働意欲,査定ランク,仕事への満足度,月給(ドル),転職回数,昇給率,能力評価,人間関係の満足度,ストックオプション,社会人歴,昨年の研修時間,ワークライフバランス,在職年数,現在の役職年数,昇進からの経過年数,現在の上司になってからの年数,残業_有,性別_男性,配偶者_離婚,配偶者_結婚,配偶者_独身,部署_人事,部署_研究開発,部署_営業,専攻_経営,専攻_科学,専攻_医学,専攻_工学,専攻_人事,専攻_その他,役職_経営層,役職_管理職,役職_主任,役職_一般
Yes,28,1,24,3,19,3,2,1,3,2028,5,14,3,2,0,6,4,3,4,2,0,3,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,29,1,21,4,20,2,4,3,1,9980,1,11,3,3,1,10,1,3,10,9,8,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,32,1,5,2,21,1,4,1,2,3298,0,12,3,4,2,7,5,2,6,2,0,5,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,22,0,16,2,22,4,4,1,4,2935,1,13,3,2,2,1,2,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,53,1,2,4,23,1,2,4,4,15427,2,16,3,3,0,31,3,3,25,8,3,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
No,38,1,2,3,24,4,3,1,4,3944,5,11,3,3,0,6,3,3,3,2,1,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,24,0,11,2,26,1,4,2,3,4011,0,18,3,4,1,5,5,2,4,2,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Yes,36,1,9,4,27,3,2,1,1,3407,7,23,4,2,0,10,4,3,5,3,0,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
No,34,1,7,4,28,1,3,3,2,11994,0,11,3,3,0,13,4,3,12,6,2,11,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,21,1,15,2,30,3,3,1,4,1232,1,14,3,4,0,0,6,3,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,34,1,6,1,31,2,3,1,1,2960,2,11,3,3,0,8,2,3,4,2,1,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,53,1,5,3,32,3,3,5,3,19094,4,11,3,4,1,26,3,2,14,13,4,8,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Yes,32,2,16,1,33,2,1,1,1,3919,1,22,4,2,0,10,5,3,10,2,6,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,42,1,8,4,35,3,3,2,2,6825,0,11,3,4,1,10,2,3,9,7,4,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,44,1,7,4,36,1,2,3,4,10248,3,14,3,4,1,24,4,3,22,6,5,17,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,46,1,2,4,38,2,3,5,1,18947,3,12,3,4,0,22,2,2,2,2,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
No,33,1,2,3,39,3,3,1,4,2496,4,11,3,4,0,7,3,3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,44,1,10,4,40,4,3,2,4,6465,2,13,3,4,0,9,5,4,4,2,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
No,30,1,9,2,41,4,2,1,3,2206,1,13,3,1,0,10,5,3,10,0,1,8,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,39,1,5,3,42,4,3,2,4,2086,3,14,3,3,1,19,6,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Yes,24,1,1,3,45,2,3,1,4,2293,2,16,3,1,1,6,2,2,2,0,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,43,1,2,2,46,4,4,1,3,2645,1,12,3,4,2,6,3,2,5,3,1,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,50,1,3,2,47,1,2,1,3,2683,1,14,3,3,0,3,2,3,3,2,0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
No,35,1,2,3,49,4,3,1,4,2014,1,13,3,1,0,2,3,3,2,2,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
No,36,1,5,4,51,2,2,1,1,3419,9,14,3,4,1,6,3,4,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,33,2,1,3,52,3,4,2,1,5376,2,19,3,1,2,10,3,3,5,3,1,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,35,1,4,2,53,3,3,1,4,1951,1,12,3,3,1,1,3,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
No,27,1,2,4,54,4,3,1,1,2341,1,13,3,4,1,1,6,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,26,1,25,3,55,1,1,1,3,2293,1,12,3,3,0,1,2,2,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,27,2,8,3,56,4,3,3,3,8726,1,15,3,4,0,9,0,3,9,8,1,7,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,30,2,1,2,57,3,3,2,4,4011,1,23,4,4,0,12,2,3,12,8,3,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,41,1,12,3,58,2,3,5,3,19545,1,12,3,4,0,23,0,3,22,15,15,8,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
No,34,0,23,4,60,2,3,2,3,4568,0,20,4,3,0,10,2,3,9,5,8,7,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
No,37,1,19,2,61,2,3,1,2,3022,4,21,4,1,0,8,1,3,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,46,2,5,4,62,1,3,2,4,5772,4,21,4,3,0,14,4,3,9,6,0,8,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
No,35,1,8,1,63,4,4,1,4,2269,1,19,3,4,0,1,2,3,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,48,1,1,2,64,1,2,3,3,5381,9,13,3,4,0,23,2,3,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,28,1,5,4,65,3,3,1,3,3441,1,13,3,3,0,2,3,2,2,2,2,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
No,44,1,1,5,68,2,3,2,1,5454,5,21,4,3,1,9,2,2,4,3,1,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,35,0,11,2,70,3,2,3,1,9884,2,13,3,3,1,10,3,3,4,0,2,3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,26,1,23,3,72,3,2,2,4,4157,7,19,3,3,1,5,2,2,2,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,33,2,1,2,73,1,3,3,4,13458,1,12,3,3,0,15,1,3,15,14,8,12,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,35,2,18,5,74,2,3,3,1,9069,1,22,4,4,1,9,3,2,9,8,1,8,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,35,1,23,4,75,3,3,1,1,4014,3,15,3,3,1,4,3,3,2,2,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,31,1,7,4,76,4,3,2,4,5915,3,22,4,4,1,10,3,2,7,7,1,7,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,37,1,1,4,77,1,2,2,3,5993,1,18,3,3,1,7,2,4,7,5,0,7,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
No,32,1,1,3,78,1,3,2,4,6162,1,22,4,2,1,9,3,3,9,8,7,8,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,38,2,29,5,79,4,3,2,4,2406,1,11,3,4,0,10,2,3,10,3,9,9,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,50,1,7,2,80,2,2,5,3,18740,5,12,3,4,1,29,2,2,27,3,13,8,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,59,1,25,3,81,1,3,3,1,7637,7,11,3,4,0,28,3,2,21,16,7,9,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,36,1,8,3,83,3,3,3,3,10096,1,13,3,2,3,17,2,3,17,14,12,8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
No,55,1,8,3,84,4,3,4,3,14756,2,14,3,3,3,21,2,3,5,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
No,36,2,11,3,85,2,2,2,2,6499,1,13,3,3,0,6,3,3,6,5,0,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,45,1,7,3,86,2,3,3,1,9724,2,17,3,3,1,25,2,3,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,35,2,1,3,88,2,3,1,1,2194,4,13,3,4,1,5,2,2,3,2,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,36,1,9,3,90,4,2,1,3,3388,0,17,3,1,1,2,0,2,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,59,2,1,1,91,1,2,2,3,5473,7,11,3,4,0,20,2,2,4,3,1,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,29,1,2,3,94,3,3,1,2,2703,0,23,4,4,1,6,3,3,5,4,0,4,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,31,1,1,4,95,3,3,1,2,2501,1,17,3,2,0,1,4,3,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,32,1,1,3,96,2,3,2,2,6220,1,17,3,2,2,10,3,3,10,4,0,9,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,36,1,6,3,97,2,4,1,4,3038,3,12,3,2,0,5,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,31,1,8,4,98,3,3,2,4,4424,1,23,4,4,0,11,2,3,11,7,1,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,35,1,1,4,100,3,2,2,1,4312,0,14,3,2,0,16,2,3,15,13,2,8,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
No,45,1,6,4,101,4,3,3,1,13245,4,14,3,2,0,17,3,4,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
No,37,1,7,4,102,1,3,3,3,13664,4,13,3,1,0,16,3,4,5,2,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
No,46,1,5,2,103,2,3,2,2,5021,8,22,4,4,1,16,2,3,4,2,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
No,30,1,1,1,104,4,2,2,4,5126,1,12,3,3,2,10,1,2,10,8,3,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,35,1,1,3,105,2,2,1,3,2859,1,18,3,1,0,6,3,3,6,4,0,4,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,55,1,1,2,106,1,3,3,4,10239,3,14,3,4,1,24,4,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,38,0,6,3,107,2,1,2,4,5329,7,12,3,4,3,17,3,3,13,11,1,9,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,34,1,1,2,110,1,3,2,2,4325,1,15,3,3,0,5,2,3,5,2,1,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,56,1,7,3,112,4,1,3,4,7260,4,11,3,1,0,37,3,2,6,4,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,23,1,2,1,113,3,3,1,1,2322,3,13,3,3,1,3,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
No,51,1,9,4,116,4,3,1,4,2075,3,23,4,2,2,10,4,3,4,2,0,3,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,30,1,2,3,117,3,2,2,4,4152,1,19,3,1,3,11,3,3,11,10,10,8,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Yes,46,1,9,2,118,3,2,3,4,9619,1,16,3,4,0,9,3,3,9,8,4,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
No,40,2,1,4,119,3,2,4,2,13503,1,22,4,4,1,22,3,2,22,3,11,11,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
No,51,1,21,4,120,3,3,2,4,5441,0,22,4,4,0,11,2,1,10,7,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
No,30,1,4,2,121,3,2,2,2,5209,1,12,3,2,3,11,4,2,11,8,2,7,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,46,2,1,3,124,3,2,3,1,10673,2,13,3,3,1,21,5,2,10,9,9,5,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,32,1,6,4,125,2,3,2,3,5010,1,16,3,1,0,12,0,3,11,8,5,7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
No,54,1,2,4,126,1,3,3,3,13549,9,12,3,1,1,16,5,1,4,3,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
No,24,1,3,2,128,1,3,2,3,4999,0,21,4,1,1,4,2,2,3,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
No,28,0,4,3,129,2,3,2,3,4221,1,15,3,2,0,5,3,4,5,4,0,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,58,1,10,4,131,4,3,4,3,13872,0,13,3,3,0,38,1,2,37,10,1,8,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
No,44,0,23,3,132,2,3,2,2,2042,4,12,3,3,1,17,3,4,3,2,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Yes,37,1,6,4,133,3,3,1,1,2073,4,22,4,4,0,7,3,3,3,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
No,32,1,1,1,134,4,3,1,1,2956,1,13,3,4,0,1,2,3,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,20,2,6,3,137,4,2,1,4,2926,1,18,3,2,0,1,5,3,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,34,1,6,4,138,1,3,2,3,4809,1,14,3,3,0,16,3,3,16,13,2,10,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
No,37,0,2,2,139,3,2,2,4,5163,5,14,3,4,1,17,2,4,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
No,59,0,2,4,140,3,2,5,4,18844,9,21,4,4,1,30,3,3,3,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
No,50,2,1,3,141,1,3,5,2,18172,3,19,3,1,0,28,1,2,8,3,0,7,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Yes,25,1,5,3,142,3,2,2,3,5744,1,11,3,4,0,6,1,3,6,4,0,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
No,25,1,7,1,143,4,2,1,4,2889,1,11,3,3,2,2,2,3,2,2,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,22,1,15,3,144,2,3,1,4,2871,1,15,3,3,0,1,5,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,51,2,1,4,145,1,2,3,1,7484,3,20,4,3,0,23,1,2,13,12,12,8,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
Yes,34,2,7,3,147,1,1,2,3,6074,1,24,4,4,0,9,3,3,9,7,0,6,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,54,0,26,3,148,4,4,4,4,17328,2,12,3,3,0,23,3,3,5,3,4,4,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
No,24,1,18,1,150,2,3,1,3,2774,0,12,3,3,1,6,2,3,5,3,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,34,1,6,4,151,3,2,2,2,4505,6,15,3,3,1,12,3,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,37,1,3,3,152,3,3,3,4,7428,2,12,3,1,0,12,3,3,5,3,1,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,34,1,5,3,153,3,2,3,1,11631,2,12,3,4,0,14,6,3,11,10,5,8,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
No,36,2,11,2,154,2,3,3,4,9738,0,14,3,3,1,10,6,3,9,7,2,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
No,36,1,3,2,155,1,3,1,4,2835,5,22,4,1,1,7,2,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,43,2,26,2,158,3,3,4,4,16959,1,12,3,4,2,25,3,4,25,12,4,12,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
No,30,2,23,3,159,1,1,1,3,2613,1,25,4,3,3,10,2,2,10,7,0,9,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,33,0,22,2,160,3,3,2,2,6146,0,13,3,1,1,8,2,4,7,7,0,7,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Yes,56,1,14,4,161,2,3,1,2,4963,9,18,3,1,3,7,2,3,5,4,4,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,51,1,6,3,162,1,3,5,3,19537,7,13,3,3,0,23,5,3,20,18,15,15,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
Yes,31,1,6,4,163,2,1,2,3,6172,4,18,3,2,0,12,3,2,7,7,7,7,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,26,1,6,3,164,3,2,1,2,2368,1,19,3,3,0,5,3,2,5,4,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Yes,58,1,23,4,165,4,3,3,4,10312,1,12,3,4,1,40,3,2,40,10,15,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Yes,19,1,22,1,167,4,3,1,3,1675,1,19,3,4,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
No,22,1,2,1,169,3,3,1,4,2523,0,14,3,3,1,3,2,3,2,1,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
No,49,1,20,4,170,3,3,2,1,6567,1,14,3,3,0,16,2,2,15,11,5,11,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,43,2,28,3,171,2,4,1,3,4739,4,12,3,4,0,18,2,3,3,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,50,2,12,3,174,3,3,3,4,9208,4,11,3,4,0,16,3,3,2,2,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Yes,31,1,20,3,175,2,1,2,3,4559,3,11,3,3,1,4,2,3,2,2,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,41,1,9,1,176,3,3,3,3,8189,3,13,3,3,1,12,2,3,9,7,0,7,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,26,1,25,1,177,3,3,1,3,2942,1,23,4,4,1,8,3,3,8,7,5,7,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
No,36,1,6,2,178,2,3,2,2,4941,6,20,4,4,2,7,0,3,3,2,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Yes,51,2,8,4,179,1,1,3,4,10650,2,15,3,4,0,18,2,3,4,2,0,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,39,1,4,4,182,4,2,2,3,5902,4,14,3,3,1,17,1,4,15,11,5,9,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,25,1,28,3,183,1,2,2,3,8639,2,18,3,4,0,6,3,3,2,2,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
No,30,1,9,3,184,3,3,2,4,6347,0,19,3,4,0,12,2,1,11,9,4,7,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Yes,32,1,9,3,190,1,3,1,1,4200,7,22,4,1,0,10,2,4,5,4,0,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,45,1,29,3,192,3,3,1,4,3452,5,13,3,2,0,9,2,2,6,5,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,38,1,3,5,193,4,3,2,3,4317,3,20,4,2,0,19,2,3,3,2,2,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
No,30,1,18,3,194,1,3,1,3,2632,1,14,3,3,0,5,4,2,5,4,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,32,2,9,2,195,4,1,2,4,4668,0,17,3,4,3,9,2,4,8,7,0,7,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
No,30,1,5,3,197,4,3,1,1,3204,5,14,3,4,1,8,3,3,3,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
No,30,1,2,1,198,2,2,1,4,2720,0,13,3,4,0,6,3,3,5,3,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,41,2,10,3,199,4,2,4,1,17181,4,13,3,2,1,21,2,2,7,6,7,7,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
No,41,1,9,4,200,3,3,1,1,2238,2,21,4,4,1,7,2,3,5,0,1,4,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,19,1,3,1,201,2,3,1,2,1483,1,14,3,4,0,1,3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
No,40,2,26,3,202,2,3,2,2,5605,1,11,3,1,1,20,2,3,20,7,2,13,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,35,1,1,5,204,3,3,3,2,7295,1,13,3,1,2,10,3,3,10,8,0,6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,53,1,6,2,205,2,3,2,3,2306,2,20,4,4,1,13,3,1,7,7,4,5,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
No,45,1,9,3,206,2,3,2,2,2348,8,18,3,3,1,20,2,1,17,9,0,15,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,32,2,8,3,207,2,3,3,4,8998,1,14,3,4,0,9,2,3,9,8,3,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
No,29,0,1,1,208,4,3,2,3,4319,1,13,3,1,1,10,1,3,10,7,0,9,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
No,51,1,7,4,211,2,2,2,3,6132,2,17,3,3,0,10,2,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
No,58,1,9,3,214,2,2,1,2,3346,4,20,4,2,1,9,3,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,40,1,4,4,215,3,2,3,4,10855,7,11,3,1,1,15,2,2,12,11,2,11,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
No,34,2,2,4,216,3,3,1,3,2231,6,18,3,4,1,6,3,3,4,3,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
No,22,1,19,1,217,3,3,1,4,2323,1,24,4,1,2,2,6,3,2,2,2,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
